City,Country,Latitude,Longitude,Date,Temp,Cloudiness,Humidity,Wind Speed
Kirakira,SB,-10.46,161.92,1538177977,80.34,36,100,13.67
Daye,CN,30.1,114.98,1538177978,68.64,0,92,3.6
Havre-Saint-Pierre,CA,50.23,-63.6,1538175600,48.2,90,76,11.41
Mgandu,TZ,-5.96,34.11,1538177978,60.27,0,68,12.21
Bunol,ES,39.42,-0.78,1538177400,62.6,0,77,4.7
Siverek,TR,37.75,39.32,1538175000,71.6,0,40,11.41
Galle,US,29.74,-97.91,1538175360,84.02,90,63,5.82
Coihaique,CL,-45.58,-72.07,1538175600,50.0,75,76,3.36
Napa,US,38.3,-122.29,1538175480,82.94,1,59,18.34
Ljungby,SE,56.83,13.94,1538176800,30.2,0,92,2.24
Harper,US,30.3,-99.24,1538176500,80.06,75,65,4.7
Kingsport,US,36.55,-82.56,1538176740,71.96,1,100,3.36
Hudiksvall,SE,61.73,17.1,1538177981,43.44,8,100,10.09
Caravelas,BR,-17.73,-39.27,1538177535,77.19,0,100,16.46
Palmer,AU,-34.85,139.16,1538175600,53.6,20,54,5.82
Yumen,CN,40.29,97.04,1538177742,42.81,0,32,10.54
Evensk,RU,61.92,159.24,1538177982,40.74,100,100,14.67
Castro,CL,-42.48,-73.76,1538177648,48.21,80,100,8.41
Komsomolskiy,RU,67.55,63.78,1538177983,36.42,92,97,3.15
Ovsyanka,RU,53.58,126.91,1538177983,52.26,0,57,5.95
Chaadayevka,RU,53.14,45.91,1538177983,53.97,68,75,15.46
Ordubad,AZ,38.91,46.02,1538175600,62.6,44,63,9.17
Roseburg,US,43.22,-123.34,1538175360,86.0,1,22,2.93
Jiangyou,CN,31.78,104.73,1538177984,56.76,24,88,2.71
Florianopolis,BR,-27.6,-48.55,1538175600,71.6,75,83,8.05
Ulladulla,AU,-35.36,150.48,1538172000,59.0,92,47,6.93
Maniitsoq,GL,65.42,-52.9,1538177985,34.62,88,100,12.77
San Quintin,PH,17.54,120.52,1538175600,78.8,75,94,4.7
Tessalit,ML,20.2,1.01,1538177560,77.64,32,32,6.06
Verkhnevilyuysk,RU,63.45,120.31,1538177834,40.65,92,85,5.28
Usinsk,RU,66.0,57.56,1538177986,38.13,92,100,4.05
Labuhan,ID,-2.54,115.51,1538177986,78.18,0,76,2.59
Paptalaya,HN,15.5,-84.32,1538177986,76.29,48,89,2.48
Mattawa,CA,46.32,-78.7,1538175600,48.2,90,81,19.46
Iranshahr,IR,27.21,60.69,1538177987,54.78,0,34,2.59
Huarmey,PE,-10.07,-78.15,1538177752,63.96,8,77,3.15
Marovoay,MG,-16.11,46.64,1538175600,73.4,0,78,4.7
Orotukan,RU,62.26,151.67,1538177988,32.73,92,100,4.16
Rognan,NO,67.1,15.4,1538175000,37.4,75,100,14.99
Meulaboh,ID,4.14,96.13,1538177768,78.09,48,100,5.73
Almaznyy,RU,48.03,40.04,1538177989,46.23,0,91,7.52
Lai,CN,27.82,91.75,1538177989,48.84,24,78,0.81
Sarkand,KZ,45.41,79.91,1538177990,55.14,0,41,8.75
Taksimo,RU,56.36,114.84,1538177812,31.83,0,82,2.15
Cartagena del Chaira,CO,1.33,-74.84,1538177990,78.27,8,89,0.25
Upernavik,GL,72.79,-56.15,1538177644,33.63,88,100,16.13
Rosario,UY,-34.31,-57.35,1538177991,74.67,32,72,19.48
Ilorin,NG,8.5,4.55,1538177991,72.6,32,98,5.95
Sabang,PH,13.72,123.58,1538177991,79.53,32,100,5.17
Srednekolymsk,RU,67.46,153.71,1538177992,31.74,92,75,6.62
Sisimiut,GL,66.94,-53.67,1538177804,30.48,88,97,10.2
Kamina,CD,-8.74,25.0,1538177992,66.93,8,81,6.29
Shelburne,CA,44.08,-80.2,1538176380,59.0,90,76,5.82
Ust-Tsilma,RU,65.44,52.15,1538177802,38.04,88,100,2.71
Lakatoro,VU,-16.11,167.42,1538172000,73.4,90,88,14.99
Emerald,AU,-23.53,148.16,1538177993,77.28,0,56,5.17
Rundu,NA,-17.91,19.77,1538177819,71.34,12,34,5.39
Pochutla,MX,15.74,-96.47,1538174580,87.8,75,62,6.93
Marsa Matruh,EG,31.35,27.25,1538172000,77.0,0,83,4.38
Cayenne,GF,4.94,-52.33,1538175600,80.6,20,88,5.82
Klaksvik,FO,62.23,-6.59,1538176800,48.2,92,93,13.87
Bayir,TR,37.27,28.22,1538175000,73.4,40,69,5.82
Bobcaygeon,CA,44.54,-78.55,1538175600,53.6,90,87,11.41
Umm Lajj,SA,25.02,37.27,1538177713,79.26,12,100,4.83
Guangyuan,CN,32.43,105.86,1538177996,52.53,0,81,2.37
Caibarien,CU,22.52,-79.47,1538175060,82.4,20,65,12.75
Tacuarembo,UY,-31.73,-55.98,1538177996,71.34,36,88,9.75
Dourbali,TD,11.81,15.86,1538177997,72.06,12,93,2.15
San Mariano,PH,16.98,122.01,1538177997,78.99,8,92,3.04
Nikolskiy,RU,60.92,34.06,1538177997,37.77,24,92,10.76
Suntar,RU,62.16,117.65,1538177998,38.76,76,87,3.94
Bilma,NE,18.69,12.92,1538177998,72.51,0,32,3.27
Pacific Grove,US,36.62,-121.92,1538175780,68.0,40,58,9.17
Vila Velha,BR,-3.71,-38.6,1538175600,80.6,0,74,9.17
Safford,US,32.83,-109.71,1538175060,93.92,1,16,9.17
Puerto Cabezas,NI,14.04,-83.39,1538175600,78.8,75,88,4.7
Faizpur,IN,21.16,75.86,1538177999,69.9,0,88,2.59
Sibu,MY,2.29,111.83,1538175600,77.0,75,94,1.12
Hobyo,SO,5.35,48.53,1538177926,76.83,88,91,15.12
Mangrol,IN,25.33,76.51,1538178001,68.19,0,73,1.25
Fujieda,JP,34.93,138.23,1538178001,68.28,88,85,9.53
Vestmanna,FO,62.16,-7.17,1538176800,48.2,92,93,13.87
Te Anau,NZ,-45.41,167.72,1538177677,50.19,36,69,18.25
Isla Aguada,MX,18.78,-91.49,1538174580,75.2,90,88,3.36
Manggar,ID,-2.88,108.27,1538178002,81.06,8,84,8.75
Palana,RU,59.08,159.95,1538178003,50.55,32,75,5.61
Manjeshwar,IN,12.72,74.89,1538177400,75.2,40,94,3.36
Ayagoz,KZ,47.96,80.43,1538178003,43.44,12,71,7.52
Zhuhai,CN,40.71,112.04,1538175600,42.8,40,60,8.95
Linfen,CN,36.09,111.52,1538178004,46.14,0,78,2.15
Palmas de Monte Alto,BR,-14.26,-43.16,1538178004,79.8,0,32,11.65
Daura,NG,13.04,8.32,1538178005,73.59,20,72,2.71
Segou,SN,12.41,-12.29,1538178005,72.24,56,97,3.38
Mandiana,GN,10.62,-8.7,1538178005,69.63,68,99,7.07
Visnes,NO,59.36,5.22,1538176800,50.0,92,81,21.92
Quelimane,MZ,-17.88,36.89,1538175600,77.0,0,83,5.82
Maragogi,BR,-9.01,-35.22,1538178006,72.06,24,98,5.61
Mahajanga,MG,-15.72,46.32,1538175600,73.4,0,78,4.7
Montevideo,US,44.94,-95.72,1538176500,55.4,1,7,10.29
Deder,ET,9.31,41.44,1538178007,56.22,0,68,2.59
Tres Arroyos,AR,-38.38,-60.28,1538178008,59.91,92,97,7.96
Halifax,CA,44.65,-63.58,1538176260,55.4,90,100,5.82
Heinola,FI,61.2,26.03,1538176800,33.8,0,80,5.82
Atar,MR,20.52,-13.05,1538177591,77.28,0,30,6.06
Dryden,CA,49.79,-92.84,1538175780,33.8,90,86,12.75
Muros,ES,42.77,-9.06,1538177400,60.8,40,100,2.24
Belyy Yar,RU,53.6,91.39,1538175600,44.6,90,93,2.24
Cabedelo,BR,-6.97,-34.84,1538175600,75.2,0,88,5.82
Borogontsy,RU,62.67,131.17,1538177847,33.81,12,78,4.16
Ostrovnoy,RU,68.05,39.51,1538177753,36.69,88,84,18.14
Adrar,DZ,27.87,-0.29,1538175600,75.2,40,47,12.75
Guntakal,IN,15.16,77.38,1538178011,70.89,88,99,3.94
Husavik,CA,50.56,-96.99,1538178011,36.33,20,88,10.76
Kalianget,ID,-7.74,113.68,1538178012,73.5,8,100,5.17
Tevriz,RU,57.51,72.4,1538178012,44.43,80,87,9.53
Santiago del Estero,AR,-27.8,-64.26,1538178012,77.73,44,72,4.61
Tecoanapa,MX,16.99,-99.26,1538174820,86.0,75,74,5.82
Touros,BR,-5.2,-35.46,1538178013,77.1,64,89,13.0
Cangucu,BR,-31.39,-52.68,1538177822,65.94,76,91,16.46
Manta,RO,45.1,24.1,1538178014,40.11,0,80,2.71
Pangnirtung,CA,66.15,-65.72,1538172000,32.0,90,90,6.93
Ginir,ET,7.14,40.71,1538178015,53.97,8,87,3.04
Agirish,RU,61.92,63.02,1538178015,36.15,0,97,5.39
Ghanzi,BW,-21.7,21.65,1538178015,73.86,36,31,8.19
Praia,BR,-20.25,-43.81,1538175600,78.8,75,50,11.41
Ovre Ardal,NO,61.32,7.8,1538178016,28.14,92,91,2.93
Tonantins,BR,-2.86,-67.77,1538178016,78.0,36,87,3.6
Iracoubo,GF,5.48,-53.21,1538178016,80.97,0,73,7.29
Moche,PE,-8.17,-79.01,1538175600,62.6,20,88,8.05
Berlevag,NO,70.86,29.09,1538177804,30.66,12,100,6.85
Huanren,CN,41.26,125.37,1538177769,55.77,36,99,3.71
Peniche,PT,39.36,-9.38,1538175600,64.4,0,72,5.82
Inhambane,MZ,-23.87,35.38,1538177899,72.33,0,100,7.52
Hailar,CN,49.2,119.7,1538178018,45.33,68,97,12.66
Turukhansk,RU,65.8,87.96,1538178018,49.83,76,90,19.04
Pedernales,EC,0.07,-80.05,1538178018,75.84,32,78,7.4
Vardo,US,39.62,-77.74,1538175300,71.96,1,59,3.36
Vakhtan,RU,57.97,46.69,1538178019,38.4,88,98,8.41
Chimbote,PE,-9.08,-78.59,1538178019,64.14,24,87,6.4
Luanda,AO,-8.83,13.24,1538172000,73.4,75,83,4.7
Lieksa,FI,63.32,30.02,1538178020,33.54,32,86,7.07
Lithakia,GR,37.72,20.83,1538176800,62.6,75,88,11.43
Port-Cartier,CA,50.03,-66.88,1538175600,44.6,20,87,14.99
Hay River,CA,60.82,-115.79,1538175600,39.2,75,48,21.92
Mossendjo,CG,-2.95,12.72,1538178021,70.89,100,99,2.37
Iralaya,HN,15.0,-83.23,1538178021,81.51,68,87,6.62
Nelson Bay,AU,-32.72,152.14,1538175600,68.0,48,45,12.75
San Nicolas,HN,14.94,-88.33,1538178022,71.43,80,93,1.7
Ixtapa,MX,20.71,-105.21,1538174820,87.8,40,70,6.93
Darhan,MN,49.49,105.92,1538178022,34.44,92,92,8.75
Chicama,PE,-7.84,-79.15,1538175600,62.6,20,88,8.05
Wloszczowa,PL,50.85,19.97,1538178023,48.39,56,72,11.1
Montepuez,MZ,-13.13,39.0,1538178023,63.96,0,91,5.61
Fayetteville,US,36.06,-94.16,1538175480,75.2,1,68,3.36
Tynda,RU,55.15,124.74,1538178024,44.16,0,76,4.16
Mogadishu,SO,2.04,45.34,1538178024,76.83,76,100,10.2
Hohhot,CN,40.81,111.65,1538175600,42.8,40,60,8.95
San Jeronimo,PE,-13.65,-73.37,1538178025,53.79,92,39,1.7
Dukat,RS,42.44,22.31,1538178025,42.36,36,67,2.71
Olhao,PT,37.03,-7.84,1538175600,71.6,0,83,4.7
Maunabo,PR,18.01,-65.9,1538176440,80.96,90,97,12.75
Karratha,AU,-20.74,116.85,1538178026,69.0,0,61,4.61
Rio Grande,BR,-32.03,-52.1,1538178027,66.12,92,94,24.07
Bereda,ES,43.27,-7.54,1538177400,59.0,90,100,1.12
